Name,Ticker
Vanguard U.S. Dividend Appreciation Index ETF (CAD-hedged),VGH.TO
Vanguard FTSE Developed All Cap ex U.S. Index ETF (CAD-hedged),VEF.TO
First Trust AlphaDEX U.S. Industrials Sector Index ETF,FHG.TO
First Trust AlphaDEX U.S. Financial Sector Index ETF,FHF.TO
First Asset Morningstar International Momentum Index ETF,ZXM.TO
First Asset Morningstar International Momentum Index ETF,ZXM-A.TO
Vanguard FTSE Developed Europe All Cap Index ETF,VE.TO
Vanguard U.S. Aggregate Bond Index ETF (CAD-hedged),VBU.TO
First Asset Can-Energy Covered Call ETF,OXF.TO
Horizons Active US Floating Rate Bond (USD) ETF,HUF.TO
Horizons Active Emerging Markets Dividend ETF,HAJ.TO
Horizons Auspice Broad Cmdty ETF Comm,HBR.TO
First Asset Active Canadian Dividend ETF,FDV.TO
First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged),FDE.TO
iShares Global Agriculture Index ETF,COW.TO
BMO Aggregate Bond Index ETF,ZAG.TO
iShares Canadian Government Bond Index ETF,XGB.TO
iShares Core MSCI All Country World ex Canada Index ETF,XAW.TO
iShares Alternatives Completion Portfolio Builder Fund,XAL.TO
First Asset Morningstar Canada Momentum Index ETF,WXM.TO
First Asset Morningstar Canada Momentum Index ETF,WXM-A.TO
Vanguard FTSE Global All Cap ex Canada Index ETF,VXC.TO
Vanguard U.S. Dividend Appreciation Index ETF,VGG.TO
Vanguard FTSE Emerging Markets All Cap Index ETF,VEE.TO
Vanguard FTSE Dev Asia Pac All Cap ETF,VA.TO
First Asset Morningstar US Dividend Target 50 Index ETF,UXM.TO
First Asset MSCI World Low Risk Weighted ETF,RWW.TO
First Asset MSCI USA Low Risk Weighted ETF,RWU-D.TO
First Asset MSCI Europe Low Risk Weighted ETF,RWE-B.TO
Purpose Fund Corp. - Purpose Diversified Real Asset Fund,PRA.TO
First Asset Can-Materials Covered Call ETF,MXF.TO
Horizons Active High Yield Bond ETF,HYI.TO
Horizons Auspice Managed Futures Index ETF,HMF.TO
Horizons Active Floating Rate Preferred Share ETF,HFP.TO
Horizons Active Global Fixed Income ETF,HAF.TO
Horizons Active Cdn Bond ETF,HAD.TO
Horizons Active Cdn Bond ETF,HAD-A.TO
First Asset Morningstar Canada Value Index ETF,FXM.TO
First Asset U.S. & Canada Lifeco Income ETF,FLI.TO
First Asset U.S. & Canada Lifeco Income ETF,FLI-A.TO
First Trust AlphaDEX U.S. Utilities Sector Index ETF,FHU.TO
First Trust AlphaDEX U.S. Technology Sector Index ETF,FHQ.TO
First Trust AlphaDEX U.S. Health Care Sector Index ETF,FHH.TO
First Trust AlphaDEX U.S. Energy Sector Index ETF,FHE.TO
First Asset Global Value (CAD hedged) ETF,FGV.TO
First Trust AlphaDEX Canadian Dividend ETF,FDY.TO
First Asset Active Credit ETF,FAO.TO
iShares Global Monthly Dividend Index ETF (CAD-Hedged),CYH.TO
First Asset Canadian Convertible Bond ETF,CXF.TO
First Asset Canadian Convertible Bond ETF,CXF-A.TO
First Asset Fund Corp. - First Asset Core Canadian Equity Income Class ETF,CSY.TO
iShares Global Agriculture Index ETF,COW-A.TO
First Asset Core Canadian Equity ETF,CED.TO
First Asset Core Balanced ETF,CBB.TO
First Asset Active Utility & Infrastructure ETF,FAI.TO
First Trust AlphaDEX Emerging Market Dividend ETF (CAD-Hedged),FDE-A.TO
First Asset MSCI USA Low Risk Weighted ETF,RWU-A.TO
Horizons Active US Dividend ETF,HAU-A.TO
First Asset Active Cdn REIT ETF Comm,FRF.TO
FIRST ASSET ACTIVE CREDIT ETF U,FAO-U.TO
First Asset Morningstar Canada Dividend Target 30 Index ETF,DXM-A.TO
BMO Dow Jones Industrial Average Hedged to CAD Index ETF,ZDJ.TO
First Asset Morningstar National Bank Quebec Index ETF,QXM-A.TO
Vanguard FTSE Dev AC ex Nrth AmerETF C$H,VI.TO
Horizons Active Corporate Bond ETF,HAB-A.TO
Horizons Auspice Managed Futures Index ETF,HMF-A.TO
iShares Short Duration High Income ETF (CAD-Hedged),CSD-A.TO
Horizons Active Preferred Share ETF,HPR-A.TO
Horizons Active Floating Rate Bond ETF,HFR-A.TO
First Trust AlphaDEX U.S. Materials Sector Index ETF,FHM.TO
First Asset Energy Giants Covered Call ETF,NXF.TO
Horizons Gold Yield ETF,HGY-A.TO
FAO-V.TO,FAO-V.TO
First Asset European Bank ETF,FHB-A.TO
First Asset Provincial Bond Index ETF,PXF.TO
First Asset Govt Bd Barbell ETF Comm,GXF.TO
Horizons Active US Dividend ETF,HAU.TO
First Asset 1-5 Year Laddered Government Strip Bond Index ETF,BXF-A.TO
Horizons Active Global Dividend ETF,HAZ-A.TO
First Asset Active Canadian Dividend ETF,FDV-A.TO
First Asset Morningstar International Momentum Index ETF,ZXM-B.TO
First Asset MSCI Canada Low Risk Weighted ETF,RWC.TO
First Asset MSCI Europe Low Risk Weighted ETF,RWE-D.TO
Vanguard Canadian Aggregate Bond Index ETF,VAB.TO
First Asset MSCI USA Low Risk Weighted ETF,RWU-B.TO
First Asset Can-Materials Covered Call ETF,MXF-A.TO
First Trust AlphaDEX U.S. Consumer Discretionary Sector Index ETF,FHD.TO
First Asset Tech Giants Covered Call ETF,TXF-A.TO
BMO Laddered Preferred Share Index ETF,ZPR.TO
BMO Low Volatility US Equity Hedged to CAD ETF,ZLH.TO
iShares Diversified Monthly Income ETF,XTR.TO
iShares Canadian Value Index ETF,XCV.TO
RBC Target 2018 Corporate Bond Index ETF,RQF.TO
PowerShares Tactical Bond ETF,PTB.TO
BetaPro S&P/TSX 60 2x Daily Bull ETF,HXU.TO
BetaPro S&P/TSX 60 -2x Daily Bear ETF,HXD.TO
BetaPro Crude Oil -2x Daily Bear ETF,HOD.TO
BetaPro Canadian Gold Miners -2x Daily Bear ETF,HGD.TO
Horizons Enhanced Income Equity ETF,HEX.TO
Horizons Enhanced Income International Equity ETF,HEJ.TO
HORIZONS US DOLLAR CURRENCY ETF,DLR-U.TO
BMO Europe High Dividend Covered Call Hedged to CAD ETF,ZWE.TO
BMO Covered Call Canadian Banks ETF,ZWB.TO
BMO Covered Call Dow Jones Industrial Average Hedged to CAD ETF,ZWA.TO
BMO MSCI USA High Quality Index ETF,ZUQ.TO
BMO S&P 500 Index ETF,ZSP.TO
BMO Real Return Bond Index ETF,ZRR.TO
BMO S&P/TSX Equal Weight Global Gold Index ETF,ZGD.TO
BMO S&P/TSX Equal Weight Oil & Gas Index ETF,ZEO.TO
BMO Mid Corporate Bond Index ETF,ZCM.TO
iShares Core Canadian Short Term Corporate + Maple Bond Index ETF,XSH.TO
iShares Edge MSCI Multifactor Canada Index ETF,XFC.TO
Vanguard S&P 500 Index ETF,VFV.TO
PowerShares S&P 500 Low Volatility (CAD Hedged) Index ETF,ULV.TO
PowerShares S&P/TSX Composite Low Volatility Index ETF,TLV.TO
RBC Target 2016 Corporate Bond Index ETF,RQD.TO
RBC Quant U.S. Dividend Leaders (CAD Hedged) ETF,RHU.TO
RBC Quant EAFE Dividend Leaders (CAD Hedged) ETF,RHI.TO
Purpose Fund Corp. - Purpose Duration Hedged Real Estate Fund,PHR.TO
HORIZONS SP TSX 60 INDEX ETF US,HXT-U.TO
Horizons S&P/TSX Capped Energy Index ETF,HXE.TO
BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,HVU.TO
BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,HVI.TO
Horizons Gold ETF,HUG.TO
BetaPro S&P 500 2x Daily Bull ETF,HSU.TO
BetaPro Crude Oil 2x Daily Bull ETF,HOU.TO
Horizons Natural Gas Yield ETF,HNY.TO
BetaPro Natural Gas -2x Daily Bear ETF,HND.TO
BetaPro Canadian Gold Miners 2x Daily Bull ETF,HGU.TO
Horizons S&P/TSX 60 Equal Weight Index ETF,HEW.TO
Horizons Enhanced Income Gold Producers ETF,HEP.TO
Horizons US Dollar Currency ETF,DLR.TO
iShares Convertible Bond Index ETF,CVD.TO
iShares S&P/TSX Canadian Preferred Share Index ETF,CPD.TO
iShares Premium Money Market ETF,CMR.TO
iShares US Fundamental Index ETF,CLU-A.TO
iShares S&P/TSX Canadian Dividend Aristocrats Index ETF,CDZ.TO
Canadian Crude Oil Index ETF,CCX.TO
BMO Covered Call Utilities ETF,ZWU.TO
BMO US High Dividend Covered Call ETF,ZWH.TO
BMO US HIGH DIVIDEND COV CALL E,ZWH-U.TO
BMO S&P 500 Hedged to CAD Index ETF,ZUE.TO
BMO US Dividend Hedged to CAD ETF,ZUD.TO
BMO Equal Weight US Banks Hedged to CAD Index ETF,ZUB.TO
BMO Short-Term US IG Corporate Bond Hedged to CAD Index ETF,ZSU.TO
BMO Ultra Short-Term Bond ETF,ZST.TO
BMO Equal Weight REITs Index ETF,ZRE.TO
