Yahoo Symbol,Symbol,Company,Sector
AAV.TO,AAV,Advantage Oil & Gas Ltd.,Energy
ARE.TO,ARE,Aecon Group Inc.,Industrials
AEM.TO,AEM,Agnico Eagle Mines Limited,Materials
AGU.TO,AGU,Agrium Inc.,Materials
AIM.TO,AIM,Aimia Inc.,Consumer Discretionary
AC.TO,AC,Air Canada,Industrials
ASR.TO,ASR,Alacer Gold Corp.,Materials
AGI.TO,AGI,Alamos Gold Inc.,Materials
AD.TO,AD,Alaris Royalty Corp.,Financials
AQN.TO,AQN,Algonquin Power & Utilities Corp.,Utilities
ATD-B.TO,ATD.B,Alimentation Couche-Tard Inc.,Consumer Staples
AP-UN.TO,AP.UN,Allied Properties Real Estate Investment Trust,Financials
ALA.TO,ALA,AltaGas Ltd.,Energy
AIF.TO,AIF,Altus Group Limited,Financials
AYA.TO,AYA,Amaya Inc.,Consumer Discretionary
ARX.TO,ARX,ARC Resources Ltd.,Energy
AX-UN.TO,AX.UN,Artis Real Estate Investment Trust,Financials
AKG.TO,AKG,Asanko Gold Inc.,Materials
ACO-X.TO,ACO.X,ATCO Ltd.,Utilities
ATA.TO,ATA,ATS Automation Tooling Systems Inc.,Industrials
BTO.TO,BTO,B2Gold Corp.,Materials
BAD.TO,BAD,Badger Daylighting Ltd.,Industrials
BMO.TO,BMO,Bank of Montreal,Financials
BNS.TO,BNS,Bank of Nova Scotia,Financials
ABX.TO,ABX,Barrick Gold Corporation,Materials
BTE.TO,BTE,Baytex Energy Corp.,Energy
BCE.TO,BCE,BCE Inc.,Telecommunication Services
BIR.TO,BIR,Birchcliff Energy Ltd.,Energy
BB.TO,BB,BlackBerry Limited,Information Technology
BEI-UN.TO,BEI.UN,Boardwalk Real Estate Investment Trust,Financials
BBD-B.TO,BBD.B,Bombardier Inc.,Industrials
BNP.TO,BNP,Bonavista Energy Corporation,Energy
BNE.TO,BNE,Bonterra Energy Corp.,Energy
BYD-UN.TO,BYD.UN,Boyd Group Income Fund,Industrials
BAM-A.TO,BAM.A,Brookfield Asset Management Inc.,Financials
BBU-UN.TO,BBU.UN,Brookfield Business Partners L.P.,Industrials
BPY-UN.TO,BPY.UN,Brookfield Property Partners L.P.,Financials
BEP-UN.TO,BEP.UN,Brookfield Renewable Partners L.P.,Utilities
DOO.TO,DOO,BRP Inc.,Consumer Discretionary
CAE.TO,CAE,CAE Inc.,Industrials
CCO.TO,CCO,Cameco Corporation,Energy
CAR-UN.TO,CAR.UN,Canadian Apartment Properties Real Estate Investment Trust,Financials
CEU.TO,CEU,Canadian Energy Services & Technology Corp.,Energy
CM.TO,CM,Canadian Imperial Bank of Commerce,Financials
CNR.TO,CNR,Canadian National Railway Company,Industrials
CNQ.TO,CNQ,Canadian Natural Resources Limited,Energy
CP.TO,CP,Canadian Pacific Railway Limited,Industrials
REF-UN.TO,REF.UN,Canadian Real Estate Investment Trust,Financials
CTC-A.TO,CTC.A,Canadian Tire Corporation Limited,Consumer Discretionary
CU.TO,CU,Canadian Utilities Limited,Utilities
CWB.TO,CWB,Canadian Western Bank,Financials
CFP.TO,CFP,Canfor Corporation,Materials
CPX.TO,CPX,Capital Power Corporation,Utilities
CCL-B.TO,CCL.B,CCL Industries Inc.,Materials
CLS.TO,CLS,Celestica Inc.,Information Technology
CVE.TO,CVE,Cenovus Energy Inc.,Energy
CG.TO,CG,Centerra Gold Inc.,Materials
GIB-A.TO,GIB.A,CGI Group Inc.,Information Technology
CSH-UN.TO,CSH.UN,Chartwell Retirement Residences,Financials
CHE-UN.TO,CHE.UN,Chemtrade Logistics Income Fund,Materials
CIX.TO,CIX,CI Financial Corp.,Financials
CGX.TO,CGX,Cineplex Inc.,Consumer Discretionary
CCA.TO,CCA,Cogeco Communications Inc.,Consumer Discretionary
CIGI.TO,CIGI,Colliers International Group Inc.,Financials
CUF-UN.TO,CUF.UN,Cominar Real Estate Investment Trust,Financials
CMG.TO,CMG,Computer Modelling Group Ltd.,Information Technology
CSU.TO,CSU,Constellation Software Inc.,Information Technology
CJR-B.TO,CJR.B,Corus Entertainment Inc.,Consumer Discretionary
BCB.TO,BCB,Cott Corporation,Consumer Staples
CPG.TO,CPG,Crescent Point Energy Corp.,Energy
CR.TO,CR,Crew Energy Inc.,Energy
CRR-UN.TO,CRR.UN,Crombie Real Estate Investment Trust,Financials
DSG.TO,DSG,Descartes Systems Group Inc.,Information Technology
DGC.TO,DGC,Detour Gold Corporation,Materials
DH.TO,DH,DH Corporation,Financials
DHX-B.TO,DHX.B,DHX Media Ltd.,Consumer Discretionary
DOL.TO,DOL,Dollarama Inc.,Consumer Discretionary
DDC.TO,DDC,Dominion Diamond Corporation,Materials
DII-B.TO,DII.B,Dorel Industries Inc.,Consumer Discretionary
DRG-UN.TO,DRG.UN,Dream Global Real Estate Investment Trust,Financials
D-UN.TO,D.UN,Dream Office Real Estate Investment Trust,Financials
ECN.TO,ECN,ECN Capital Corp.,Financials
ELD.TO,ELD,Eldorado Gold Corporation,Materials
EFN.TO,EFN,Element Fleet Management Corp.,Financials
EMA.TO,EMA,Emera Incorporated,Utilities
EMP-A.TO,EMP.A,Empire Company Limited,Consumer Staples
ENB.TO,ENB,Enbridge Inc.,Energy
ENF.TO,ENF,Enbridge Income Fund Holdings Inc.,Energy
ECA.TO,ECA,Encana Corporation,Energy
EDV.TO,EDV,Endeavour Mining Corporation,Materials
ECI.TO,ECI,EnerCare Inc.,Industrials
EFX.TO,EFX,Enerflex Ltd.,Energy
ERF.TO,ERF,Enerplus Corporation,Energy
