Symbol,Description
AAB.TO,Aberdeen International Inc
AAR.UN.TO,Pure Industrial Real Estate Trust
AAV.TO,Advantage Oil & Gas Ltd
ABK.A.TO,Allbanc Split Corp Class A Capital Shs
ABK.PR.C.TO,Allbanc Split Corp Pref C
ABT.TO,Absolute Software Corp
ABX.TO,Barrick Gold Corp
AC.TO,Air Canada
ACB.TO,Aurora Cannabis Inc
ACD.TO,Accord Financial
ACO.X.TO,Atco Ltd Cl.I Nv
ACO.Y.TO,Atco Ltd Cl II
ACQ.TO,Autocanada Inc
ACR.UN.TO,Agellan Commercial REIT
ACZ.UN.TO,American Core Sectors Dividend Fund
AD.TO,Alaris Royalty Corp
ADC.UN.TO,First Asset Canadian Convertibles Fund
ADN.TO,Acadian Timber Corp
ADW.A.TO,Andrew Peller Limited Cl.A
ADW.B.TO,Andrew Peller Limited Cl.B
AEF.TO,Acasta Enterprises Inc
AEF.WT.TO,Acasta Enterprises Inc Wts
AEM.TO,Agnico Eagle Mines Limited
AEZS.TO,Aeterna Zentaris Inc
AF.TO,Alarmforce J
AFN.TO,Ag Growth International Inc
AFN.DB.A.TO,Ag Growth Intl Inc 5.25 Pct Debs
AFN.DB.B.TO,Ag Growth International 5.25 Pct Debs
AFN.DB.C.TO,Ag Growth Intl Inc 5.00 Pct Debs
AFN.DB.D.TO,Ag Growth Intl Inc 4.85 Pct Debs
AGF.B.TO,Agf Management Ltd Cl.B Nv
AGI.TO,Alamos Gold Inc Cls A
AGI.WT.TO,Alamos Gold Inc Warrants
AGI.WT.A.TO,Alamos Gold Inc Warrants A
AGT.TO,Agt Food and Ingredients Inc
AGU.TO,Agrium Inc
AHY.UN.TO,Advantaged CDN High Yield Bond Fund
AI.TO,Atrium Mortgage Investment Corp
AI.DB.TO,Atrium Mortgage Inv Corp 5.25 Pct Debs
AI.DB.A.TO,Atrium Mortgage Inv Corp 6.25 Pct Debs
AI.DB.B.TO,Atrium Mortgage Inv Corp 5.50 Pct Debs
AI.DB.C.TO,Atrium Mortgage Inv Corp 5.30 Pct Debs
AIF.TO,Altus Group Limited
AIM.TO,Aimia Inc
AIM.PR.A.TO,Aimia Inc Pref Ser 1
AIM.PR.B.TO,Aimia Inc Pref Ser 2
AIM.PR.C.TO,Aimia Inc Pref Ser 3
AJX.TO,Agjunction Inc
AKG.TO,Asanko Gold Inc
AKT.A.TO,Akita Drilling Ltd Cl.A Nv
AKT.B.TO,Akita Cl B
ALA.TO,Altagas Ltd
ALA.PR.A.TO,Altagas Ltd Pref A
ALA.PR.B.TO,Altagas Ltd Pref Ser B
ALA.PR.E.TO,Altagas Ltd Pref Ser E
ALA.PR.G.TO,Altagas Ltd Pref G
ALA.PR.I.TO,Altagas Ltd Pref Ser I
ALA.PR.K.TO,Altagas Ltd Pref Ser K
ALA.PR.U.TO,Altagas Ltd Pref Ser C
ALA.R.TO,Altagas Ltd Sub Receipts
ALB.TO,Allbanc Split Banc Corp II
ALB.PR.C.TO,Allbanc Split Corp II Pref Ser 2
ALC.TO,Algoma Central
ALC.DB.A.TO,Algoma Central Corp 5.25 Pct Debs
ALO.TO,Alio Gold Inc
ALO.WT.TO,Alio Gold Inc Wts
ALO.WT.A.TO,Alio Gold Inc Wts
ALS.TO,Altius Minerals Corp
AMI.TO,Aurico Metals Inc
AMM.TO,Almaden Minerals Ltd
ANX.TO,Anaconda Mining Inc
AOG.UN.TO,Logiq Adv Oil and Gas Income Fund
AOI.TO,Africa Oil Corp
AP.UN.TO,Allied Properties Real Estate Inv Trust
APH.TO,Aphria Inc
APR.UN.TO,Automotive Properties REIT
APS.TO,Aptose Biosciences Inc
APY.TO,Anglo Pacific Group Plc
AQA.TO,Aquila Resources Inc
AQN.TO,Algonquin Power and Utilities Corp
AQN.PR.A.TO,Algonquin Power and Utilities Pref A
AQN.PR.D.TO,Algonquin Power and Utilities Pref D
AQY.A.TO,Alignvest Acquisition II Corp Cl A
AQY.WT.TO,Alignvest Acquisition II Corp Wts
AR.TO,Argonaut Gold Inc
ARE.TO,Aecon Group Inc
ARE.DB.B.TO,Aecon Group Inc 5.50 Pct Debs
ARG.TO,Amerigo Resources Ltd
ARX.TO,Arc Resources Ltd
ARZ.TO,Aralez Pharmaceuticals Inc
ASND.TO,Ascendant Resources Inc
ASND.WT.TO,Ascendant Resources Inc Wts
ASO.TO,Avesoro Resources Inc
ASP.TO,Acerus Pharmaceuticals Corp
ASR.TO,Alacer Gold Corp
ATA.TO,Ats Automation
ATD.A.TO,Alimentation Couche-Tard Inc Cl A Mv
ATD.B.TO,Alimentation Couche-Tard Inc Cl B Sv
ATH.TO,Athabasca Oil Corp
ATL.TO,Atlatsa Resources Corp
ATP.TO,Atlantic Power Corp
ATP.DB.D.TO,Atlantic Power Corp 6.00 Pct Ser D Debs
ATP.DB.U.TO,Atlantic Power Corp 5.75 Pct Debs
ATZ.TO,Aritzia Inc
AUG.TO,Auryn Resources Inc
AUI.UN.TO,Australian Banc Income Fund
AUMN.TO,Golden Minerals Company
AUP.TO,Aurinia Pharmaceuticals Inc
AV.UN.TO,Logiq Adv Vip Income Fund
AVL.TO,Avalon Advanced Materials Inc
AVO.TO,Avigilon Corp
AVP.TO,Avcorp Industries Inc
AW.UN.TO,A&W Revenue Royalties Income Fund
AX.PR.A.TO,Artis REIT Pref Ser A
AX.PR.E.TO,Artis REIT Pref Ser E
AX.PR.G.TO,Artis REIT Pref Ser G
AX.PR.U.TO,Artis REIT Pref Ser C USD
AX.UN.TO,Artis Real Estate Investment Trust Units
AXR.TO,Alexco Resource Corp
AXY.TO,Alterra Power Corp
AYM.TO,Atalaya Mining Plc
AZ.TO,Arizona Mining Inc
AZP.PR.A.TO,Atlantic Power Pref Equity Ser 1
AZP.PR.B.TO,Atlantic Power Pref Equity Ser 2
AZP.PR.C.TO,Atlantic Power Pref Equity Ser 3
AZZ.TO,Azarga Uranium Corp
BAA.TO,Banro Corp
BAD.TO,Badger Daylighting Ltd
BAM.A.TO,Brookfield Asset Management Inc Cl.A Lv
BAM.PF.A.TO,Brookfield Asset Mgmt Inc Pref Ser 32
BAM.PF.B.TO,Brookfield Asset Mgmt Inc Pref Ser 34
BAM.PF.C.TO,Brookfield Asset Mgmt Inc Pref Ser 36
BAM.PF.D.TO,Brookfield Asset Mgmt Inc Pr Ser 37
BAM.PF.E.TO,Brookfield Asset Mgmt Pref Ser 38
BAM.PF.F.TO,Brookfield Asset Mgmt Inc Pref Ser 40
BAM.PF.G.TO,Brookfield Asset Mgmt Inc Pref Ser 42
BAM.PF.H.TO,Brookfield Asset MGT Inc Pref Ser 44
BAM.PF.I.TO,Brookfield Asset Mgmt Inc Pref Ser 46
BAM.PF.J.TO,Brookfield Asset Mgmt Inc Pref Ser 48
BAM.PR.B.TO,Brookfield Asset Mgmt Inc  Pr. Ser 2
BAM.PR.C.TO,Brookfield Asset Mgmt Inc Pr. Ser 4
BAM.PR.E.TO,Brookfield Asset Mgmt Inc Pr. Ser 8
BAM.PR.G.TO,Brookfield Asset Mgmt Inc Pr Ser 9
BAM.PR.K.TO,Brookfield Asset Mgmt Inc Pr. Ser 13
BAM.PR.M.TO,Brookfield Asset Mgmt Inc  Prf A Ser 17
BAM.PR.N.TO,Brookfield Asset Mgmt Pref Shs Ser 18
BAM.PR.R.TO,Brookfield Asset Mgmt Pref Ser 24
BAM.PR.S.TO,Brookfield Asset Mgmt Inc Pref Ser 25
BAM.PR.T.TO,Brookfield Asset Mgmt Pref Ser 26
BAM.PR.X.TO,Brookfield Am Pref Ser 28
BAM.PR.Z.TO,Brookfield Asset Mgmt Inc Pr Ser 30
BANK.TO,BMO Glb Banks Hgd To CAD ETF
BAR.TO,Balmoral Resources Ltd
BB.TO,Blackberry Limited
BBD.A.TO,Bombardier Inc Cl. A Mv
BBD.B.TO,Bombardier Inc Cl. B Sv
BBD.PR.B.TO,Bombardier 2 Pr
BBD.PR.C.TO,Bombardier Inc Pref Class C
BBD.PR.D.TO,Bombardier Inc Pref Ser 3
BBL.A.TO,Brampton Brick Ltd Cl.A Sv
BBU.UN.TO,Brookfield Business Partners LP
BCB.TO,Cott Corp
BCE.TO,BCE Inc
BCE.PR.A.TO,BCE First Pr Shares Series Aa
BCE.PR.B.TO,BCE Inc First Pr Shares Series Ab
BCE.PR.C.TO,BCE Inc Pr Shares Series AC
BCE.PR.D.TO,BCE Inc Pref Shares Series Ad
BCE.PR.E.TO,BCE 1st Pref Shares Series Ae
BCE.PR.F.TO,BCE 1st Pref Shares Series Af
BCE.PR.G.TO,BCE 1st Pref Shares Series Ag
BCE.PR.H.TO,BCE 1st Pref Shares Series Ah
BCE.PR.I.TO,BCE 1st Pref Shares Series Ai
BCE.PR.J.TO,BCE Inc Pref Sh Series Aj
BCE.PR.K.TO,BCE Inc Pref Ser AK
BCE.PR.L.TO,BCE Inc Pref Ser Al
BCE.PR.M.TO,BCE Inc Pref Shares Series Am
BCE.PR.N.TO,BCE Inc Pref Shares Series An
BCE.PR.O.TO,BCE Inc Pref Shares Series Ao
BCE.PR.Q.TO,BCE Inc Pref Shares Series Aq
BCE.PR.R.TO,BCE Inc Ser R
BCE.PR.S.TO,BCE Inc Ser S
BCE.PR.T.TO,BCE Inc First Pref Series T
BCE.PR.Y.TO,BCE Inc Ser Y Pr
BCE.PR.Z.TO,BCE Inc Series Z
BCI.TO,New Look Vision Group Inc
BDI.TO,Black Diamond Group Ltd
BDT.TO,Bird Construction Inc
BEI.UN.TO,Boardwalk Real Estate Investment Trust
BEK.B.TO,Becker Milk Company Ltd Cl.B Nv
BEP.PR.E.TO,Brookfield Renewable LP Pref Ser 5
BEP.PR.G.TO,Brookfield Renewable LP Pref Ser 7
BEP.PR.I.TO,Brookfield Renewable  Pref Ser 9
BEP.PR.K.TO,Brookfield Renewable LP Pref Ser 11
BEP.UN.TO,Brookfield Renewable Partners LP
BGI.UN.TO,Brookfield Glbl Infras Sec Inc Fd
BIG.D.TO,Big 8 Split Inc Class D
BIG.PR.D.TO,Big 8 Split Inc Pref Class D
BIOA.TO,Bioamber Inc
BIP.PR.A.TO,Brookfield Infra Partners LP Pref Ser 1
